animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,0.896421457000795,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,-1.698415551216894,-0.38435305739290365,1.1381803659589922,1
antelope,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,-1.1155467020454342,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,0.5887840577551898,-0.38435305739290365,1.1381803659589922,1
bass,-0.861033861323019,-0.49690399499995325,0.8437205738748234,-0.8266397845091499,-0.5582905262390826,1.3437096247164253,0.896421457000795,0.809776330178916,0.4656903154237999,-1.951800145897066,-0.29329423004270655,2.222875720904845,-1.4044350250059987,0.5887840577551898,-0.38435305739290365,-0.8785953702139587,4
bear,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,0.896421457000795,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,-1.698415551216894,-0.38435305739290365,1.1381803659589922,1
boar,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,0.896421457000795,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,0.5887840577551898,-0.38435305739290365,1.1381803659589922,1
buffalo,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,-1.1155467020454342,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,0.5887840577551898,-0.38435305739290365,1.1381803659589922,1
calf,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,-1.1155467020454342,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,0.5887840577551898,2.601774542351963,1.1381803659589922,1
carp,-0.861033861323019,-0.49690399499995325,0.8437205738748234,-0.8266397845091499,-0.5582905262390826,1.3437096247164253,-1.1155467020454342,0.809776330178916,0.4656903154237999,-1.951800145897066,-0.29329423004270655,2.222875720904845,-1.4044350250059987,0.5887840577551898,2.601774542351963,-0.8785953702139587,4
catfish,-0.861033861323019,-0.49690399499995325,0.8437205738748234,-0.8266397845091499,-0.5582905262390826,1.3437096247164253,0.896421457000795,0.809776330178916,0.4656903154237999,-1.951800145897066,-0.29329423004270655,2.222875720904845,-1.4044350250059987,0.5887840577551898,-0.38435305739290365,-0.8785953702139587,4
cavy,1.1613945106217467,-0.49690399499995325,-1.185226520443204,1.209716757818268,-0.5582905262390826,-0.7442084075352509,-1.1155467020454342,0.809776330178916,0.4656903154237999,0.5123475382979797,-0.29329423004270655,-0.4498677054212187,0.5725397140268358,-1.698415551216894,2.601774542351963,-0.8785953702139587,1
